date,lastSyncTime,steps,distance,runDistance,calories
2018-01-05,1515304651,8593,5770,325,191
2018-01-06,1515304659,635,410,97,18
2018-01-07,1515368077,2743,1886,168,68
2018-01-08,1515445574,671,434,123,20
2018-01-09,1515532143,3083,2251,465,94
2018-01-10,1515618556,685,443,85,22
2018-01-11,1515704803,777,502,170,24
2018-01-12,1515791206,5282,4000,227,150
2018-01-13,1515877615,1549,1127,54,40
2018-01-14,1516103845,7053,5035,321,177
2018-01-15,1516103845,6663,4840,364,174
2018-01-16,1516136845,4705,3292,177,120
2018-01-17,1516223255,3715,2594,151,96
